id,username,class,level,hp,inventory
254,aalbertson71,Paladin,23,39,"[{'id': 1, 'item_name': 'Extortion of Vulnerabilities', 'price': 218817, 'rarity': 3, 'type': 'Shield', 'atk': 0, 'def': 146, 'hp_regen': 0}, {'id': 2, 'item_name': 'Sun Stone', 'price': 67693, 'rarity': 1, 'type': 'Spell', 'atk': 85, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Hi-Potion', 'price': 192181, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 68}, {'id': 4, 'item_name': 'Inferno', 'price': 201026, 'rarity': 3, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Inferno', 'price': 88654, 'rarity': 3, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
255,aescreet72,Warrior,78,20,[]
256,mpriddy73,Druid,45,29,"[{'id': 1, 'item_name': 'Dinoblade', 'price': 169022, 'rarity': 2, 'type': 'Bow', 'atk': 204, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': '', 'price': 14345, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 163, 'hp_regen': 0}, {'id': 3, 'item_name': 'Elixir', 'price': 254985, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 142}, {'id': 4, 'item_name': 'Vajra Sword', 'price': 72533, 'rarity': 1, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 65}]"
257,jbohler74,Necromancer,14,240,[]
258,fnewham75,Spellcaster,49,122,"[{'id': 1, 'item_name': 'Hi-Potion', 'price': 102628, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 51, 'hp_regen': 0}, {'id': 2, 'item_name': 'Paralyzing of Rituals', 'price': 204602, 'rarity': 4, 'type': 'Bow', 'atk': 54, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Hi-Potion', 'price': 240403, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
259,bjorden76,Necromancer,56,102,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 96690, 'rarity': 5, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Silver Sword', 'price': 193037, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Stone Arm', 'price': 54206, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
260,jterry77,Pirate,13,174,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 31113, 'rarity': 5, 'type': 'Spell', 'atk': 23, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Stone Arm', 'price': 1977, 'rarity': 1, 'type': 'Sword', 'atk': 164, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Mid-Potion', 'price': 192950, 'rarity': 4, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 226}]"
261,eknappett78,Priest,57,193,"[{'id': 1, 'item_name': 'Rain of Revival', 'price': 75969, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 152}, {'id': 2, 'item_name': 'Elixir', 'price': 92634, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Tin Arm', 'price': 135966, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
262,tedinborough79,Blade Dancer,33,58,[]
263,eerbain7a,Warlord,34,23,[]
264,vsmallwood7b,Wizard,66,211,"[{'id': 1, 'item_name': 'Mid-Potion', 'price': 21914, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hi-Potion', 'price': 158979, 'rarity': 3, 'type': 'Shield', 'atk': 0, 'def': 16, 'hp_regen': 0}, {'id': 3, 'item_name': 'Inferno', 'price': 53135, 'rarity': 4, 'type': 'Bow', 'atk': 181, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Dreamseeker', 'price': 111773, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
265,mbalston7c,Wizard,28,22,"[{'id': 1, 'item_name': 'Potion', 'price': 125118, 'rarity': 1, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Slasher', 'price': 81333, 'rarity': 2, 'type': 'Spell', 'atk': 156, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Slasher', 'price': 100910, 'rarity': 5, 'type': 'Shield', 'atk': 0, 'def': 238, 'hp_regen': 0}, {'id': 4, 'item_name': 'Slasher', 'price': 47263, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
266,dpourvoieur7d,Wizard,28,248,"[{'id': 1, 'item_name': 'Seed', 'price': 127205, 'rarity': 2, 'type': 'Bow', 'atk': 34, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Demonic Blitz', 'price': 141244, 'rarity': 2, 'type': 'Bow', 'atk': 133, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Wooden Sword', 'price': 5799, 'rarity': 1, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
267,vkingsford7e,Bard,37,18,[]
268,cwilhelmy7f,Ranger,46,105,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 79895, 'rarity': 1, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mid-Potion', 'price': 9489, 'rarity': 2, 'type': 'Shield', 'atk': 0, 'def': 72, 'hp_regen': 0}, {'id': 3, 'item_name': 'Barrier Sphere', 'price': 117032, 'rarity': 3, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Seed', 'price': 32813, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
269,preasce7g,Theif,24,45,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 145093, 'rarity': 3, 'type': 'Sword', 'atk': 204, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mid-Potion', 'price': 164427, 'rarity': 1, 'type': 'Cape', 'atk': 0, 'def': 245, 'hp_regen': 0}, {'id': 3, 'item_name': 'Rain of Revival', 'price': 239098, 'rarity': 2, 'type': 'Shield', 'atk': 0, 'def': 130, 'hp_regen': 0}]"
270,mclair7h,Bard,32,162,"[{'id': 1, 'item_name': '', 'price': 194542, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 63}]"
271,edowns7i,Necromancer,20,124,"[{'id': 1, 'item_name': 'Mop', 'price': 164437, 'rarity': 3, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dinoblade', 'price': 25077, 'rarity': 1, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 171}, {'id': 3, 'item_name': 'Dreamseeker', 'price': 99287, 'rarity': 3, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
272,ktrue7j,Viking,22,191,[]
273,hwhyler7k,Hero,58,34,[]
274,bearly7l,Necromancer,54,51,"[{'id': 1, 'item_name': 'Dinoblade', 'price': 101839, 'rarity': 3, 'type': 'Sword', 'atk': 28, 'def': 0, 'hp_regen': 0}]"
275,gwilsdon7m,Warrior,53,208,"[{'id': 1, 'item_name': 'Potion', 'price': 223852, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 91, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dinoblade', 'price': 73404, 'rarity': 3, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 231}, {'id': 3, 'item_name': 'Vajra Sword', 'price': 84299, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Slasher', 'price': 77404, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 174, 'hp_regen': 0}, {'id': 5, 'item_name': 'Slasher', 'price': 105925, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
276,sbirch7n,Hero,28,160,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 24922, 'rarity': 1, 'type': 'Sword', 'atk': 88, 'def': 0, 'hp_regen': 0}]"
277,cuccello7o,Necromancer,2,126,"[{'id': 1, 'item_name': 'Mop', 'price': 90420, 'rarity': 4, 'type': 'Sword', 'atk': 162, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Potion', 'price': 101760, 'rarity': 5, 'type': 'Spell', 'atk': 225, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Lapis', 'price': 112869, 'rarity': 5, 'type': 'Spell', 'atk': 195, 'def': 0, 'hp_regen': 0}]"
278,awitheridge7p,Warlord,71,177,[]
279,amaxted7q,Warrior,5,69,"[{'id': 1, 'item_name': 'Mage Barrage', 'price': 84237, 'rarity': 4, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 141542, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 36}]"
280,cbrandrick7r,Pirate,62,190,"[{'id': 1, 'item_name': 'Hymn of Water', 'price': 57959, 'rarity': 2, 'type': 'Sword', 'atk': 121, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extinguish', 'price': 15039, 'rarity': 4, 'type': 'Sword', 'atk': 231, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Slasher', 'price': 238825, 'rarity': 2, 'type': 'Bow', 'atk': 48, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Dreamseeker', 'price': 169061, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 10}]"
281,fmccaw7s,Hero,33,85,[]
282,kboich7t,Priest,41,49,"[{'id': 1, 'item_name': 'Sun Stone', 'price': 199591, 'rarity': 2, 'type': 'Bow', 'atk': 95, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dreamseeker', 'price': 56280, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
283,dsnedker7u,Necromancer,3,256,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 4340, 'rarity': 4, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 95}]"
284,lstorkes7v,Warlord,42,115,"[{'id': 1, 'item_name': 'Rain of Revival', 'price': 85110, 'rarity': 5, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 49}]"
285,bsappson7w,Viking,34,183,"[{'id': 1, 'item_name': 'Slasher', 'price': 210093, 'rarity': 5, 'type': 'Shield', 'atk': 0, 'def': 172, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dreamseeker', 'price': 195837, 'rarity': 2, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 131}, {'id': 3, 'item_name': 'Hymn of Water', 'price': 590, 'rarity': 4, 'type': 'Shield', 'atk': 0, 'def': 75, 'hp_regen': 0}, {'id': 4, 'item_name': '', 'price': 138019, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
286,mhayhow7x,Blade Dancer,4,202,"[{'id': 1, 'item_name': 'Dreamseeker', 'price': 191739, 'rarity': 3, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dreamseeker', 'price': 177096, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Demonic Blitz', 'price': 88429, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 232}, {'id': 4, 'item_name': 'Mid-Potion', 'price': 87057, 'rarity': 3, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 190}, {'id': 5, 'item_name': 'Energy Typhoon', 'price': 99429, 'rarity': 5, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
287,mohone7y,Pirate,8,186,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 202859, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hi-Potion', 'price': 160413, 'rarity': 3, 'type': 'Sword', 'atk': 149, 'def': 0, 'hp_regen': 0}]"
288,abeany7z,Ninja,74,117,"[{'id': 1, 'item_name': 'Elixir', 'price': 145942, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 220, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dinoblade', 'price': 100568, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 161}, {'id': 3, 'item_name': 'Dreamseeker', 'price': 17145, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
289,mkarran80,Necromancer,26,51,"[{'id': 1, 'item_name': 'Inferno', 'price': 19808, 'rarity': 2, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Wooden Sword', 'price': 162985, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 18}, {'id': 3, 'item_name': 'Stone Arm', 'price': 194977, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
290,mstoter81,Warrior,25,213,[]
291,mchidlow82,Warlord,46,61,"[{'id': 1, 'item_name': 'Lapis', 'price': 156261, 'rarity': 1, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 31}, {'id': 2, 'item_name': 'Elixir', 'price': 35625, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
292,bwanka83,Viking,75,182,"[{'id': 1, 'item_name': 'Prismastone', 'price': 78045, 'rarity': 1, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mop', 'price': 236314, 'rarity': 5, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Seed', 'price': 194492, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 194, 'hp_regen': 0}]"
293,rtremayle84,Spellcaster,47,256,"[{'id': 1, 'item_name': 'Wooden Sword', 'price': 204744, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 161}, {'id': 2, 'item_name': '', 'price': 121900, 'rarity': 4, 'type': 'Sword', 'atk': 153, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Prismastone', 'price': 73147, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
294,meouzan85,Viking,45,192,"[{'id': 1, 'item_name': 'Vajra Sword', 'price': 43466, 'rarity': 3, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 140705, 'rarity': 5, 'type': 'Spell', 'atk': 201, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Potion', 'price': 9790, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
295,sgillibrand86,Ranger,26,93,"[{'id': 1, 'item_name': 'Prismastone', 'price': 72766, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extortion of Vulnerabilities', 'price': 166719, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
296,rdewbury87,Druid,22,71,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 114770, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 239646, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
297,lashe88,Ninja,5,189,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 144548, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 151, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mop', 'price': 129473, 'rarity': 2, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
298,ahonack89,Spellcaster,19,238,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 232388, 'rarity': 1, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Prismastone', 'price': 220073, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 244, 'hp_regen': 0}, {'id': 3, 'item_name': 'Vajra Sword', 'price': 119048, 'rarity': 4, 'type': 'Bow', 'atk': 207, 'def': 0, 'hp_regen': 0}]"
299,wmillsom8a,Wizard,68,208,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 243658, 'rarity': 1, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Rain of Revival', 'price': 135711, 'rarity': 2, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 197}, {'id': 3, 'item_name': 'Stone Arm', 'price': 248665, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 42, 'hp_regen': 0}]"
300,dhuard8b,Paladin,19,178,"[{'id': 1, 'item_name': 'Mop', 'price': 51455, 'rarity': 4, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hi-Potion', 'price': 178272, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 29, 'hp_regen': 0}, {'id': 3, 'item_name': 'Prismastone', 'price': 167066, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Hymn of Water', 'price': 219600, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 54, 'hp_regen': 0}]"
301,emartins8c,Hero,58,208,[]
302,lvaneeden8d,Spellcaster,58,249,"[{'id': 1, 'item_name': 'Carnage of Pride', 'price': 139063, 'rarity': 2, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 74}, {'id': 2, 'item_name': 'Lapis', 'price': 92230, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 182}, {'id': 3, 'item_name': 'Potion', 'price': 11183, 'rarity': 2, 'type': 'Shield', 'atk': 0, 'def': 39, 'hp_regen': 0}]"
303,mdines8e,Hero,27,224,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 112948, 'rarity': 3, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
304,doxteby8f,Hero,48,19,"[{'id': 1, 'item_name': '', 'price': 68934, 'rarity': 5, 'type': 'Bow', 'atk': 233, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dinoblade', 'price': 156575, 'rarity': 1, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Wooden Sword', 'price': 147200, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 106, 'hp_regen': 0}, {'id': 4, 'item_name': 'Mage Barrage', 'price': 251485, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
305,bhann8g,Viking,48,67,"[{'id': 1, 'item_name': 'Potion', 'price': 39189, 'rarity': 5, 'type': 'Sword', 'atk': 175, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mage Barrage', 'price': 75490, 'rarity': 3, 'type': 'Bow', 'atk': 71, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Hymn of Water', 'price': 197852, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Carnage of Pride', 'price': 192194, 'rarity': 5, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 155}]"
306,cdempster8h,Ninja,8,113,"[{'id': 1, 'item_name': 'Tin Arm', 'price': 94840, 'rarity': 5, 'type': 'Sword', 'atk': 80, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Demonic Blitz', 'price': 249806, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': '', 'price': 65663, 'rarity': 3, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Wooden Sword', 'price': 99607, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Extortion of Vulnerabilities', 'price': 2627, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
307,ndalzell8i,Priest,37,189,"[{'id': 1, 'item_name': 'Mop', 'price': 192709, 'rarity': 1, 'type': 'Cape', 'atk': 0, 'def': 238, 'hp_regen': 0}, {'id': 2, 'item_name': 'Stone Arm', 'price': 30554, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Extinguish', 'price': 137300, 'rarity': 4, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 84}, {'id': 4, 'item_name': 'Prismastone', 'price': 227833, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Potion', 'price': 22312, 'rarity': 1, 'type': 'Bow', 'atk': 33, 'def': 0, 'hp_regen': 0}]"
308,eluker8j,Theif,30,225,"[{'id': 1, 'item_name': 'Wooden Sword', 'price': 138779, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
309,lhandman8k,Pirate,15,152,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 151004, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Mage Barrage', 'price': 37640, 'rarity': 3, 'type': 'Shield', 'atk': 0, 'def': 14, 'hp_regen': 0}, {'id': 3, 'item_name': 'Potion', 'price': 32794, 'rarity': 4, 'type': 'Spell', 'atk': 128, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Silver Sword', 'price': 208422, 'rarity': 1, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Tin Arm', 'price': 206969, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
310,kgaishson8l,Ninja,67,248,"[{'id': 1, 'item_name': 'Tin Arm', 'price': 66787, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 213}, {'id': 2, 'item_name': 'Rain of Revival', 'price': 106189, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 66}, {'id': 3, 'item_name': 'Demonic Blitz', 'price': 221558, 'rarity': 1, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Carnage of Pride', 'price': 131521, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Potion', 'price': 189459, 'rarity': 2, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 66}]"
311,hhise8m,Blade Dancer,45,75,"[{'id': 1, 'item_name': 'Lapis', 'price': 246908, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
312,eferneyhough8n,Ranger,40,223,"[{'id': 1, 'item_name': 'Mop', 'price': 131325, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Energy Typhoon', 'price': 194038, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 50, 'hp_regen': 0}, {'id': 3, 'item_name': 'Elixir', 'price': 246488, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 169}]"
313,ddy8o,Blade Dancer,73,156,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 184569, 'rarity': 1, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Demonic Blitz', 'price': 157007, 'rarity': 4, 'type': 'Shield', 'atk': 0, 'def': 184, 'hp_regen': 0}]"
314,mpetegree8p,Wizard,22,187,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 161954, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Sun Stone', 'price': 115392, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 49, 'hp_regen': 0}, {'id': 3, 'item_name': 'Stone Arm', 'price': 204989, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Prismastone', 'price': 200975, 'rarity': 5, 'type': 'Spell', 'atk': 50, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Dreamseeker', 'price': 85043, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
315,gchellenham8q,Druid,75,233,"[{'id': 1, 'item_name': 'Prismastone', 'price': 36026, 'rarity': 1, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extinguish', 'price': 93049, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 13}, {'id': 3, 'item_name': 'Wooden Sword', 'price': 250156, 'rarity': 2, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
316,dbartolomeu8r,Ninja,2,50,"[{'id': 1, 'item_name': 'Extortion of Vulnerabilities', 'price': 161046, 'rarity': 1, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
317,oanstie8s,Pirate,58,144,[]
318,tmatura8t,Viking,64,92,"[{'id': 1, 'item_name': 'Slasher', 'price': 77507, 'rarity': 3, 'type': 'Spell', 'atk': 253, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Potion', 'price': 219733, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 146}, {'id': 3, 'item_name': 'Seed', 'price': 33547, 'rarity': 2, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Potion', 'price': 79473, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
319,eshemmin8u,Warrior,76,136,"[{'id': 1, 'item_name': 'Wooden Sword', 'price': 187570, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': '', 'price': 51915, 'rarity': 3, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
320,cchoat8v,Blade Dancer,8,164,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 47105, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extortion of Vulnerabilities', 'price': 119528, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Dinoblade', 'price': 96548, 'rarity': 2, 'type': 'Bow', 'atk': 176, 'def': 0, 'hp_regen': 0}]"
